gWisdom
gInstinct
gWilling to let go
gNatural
gHope
gGrowth
gCommunity
gPersistence
gRespect for Life
gTradition
gIntuition
gStubborn
gFortitude
gDestiny
gAcceptance
gBalance
gHarmony
gRespect
gSpirituality
gStability
gCalm
gCentered
gCommon sense
gContentment
gMeaning
gSerenity
gSignificance
gSimplicity
gSoul
gAgreeable
gHearty
gEarthy
gTalented
gConnected
gLive and let live
gMight
